Dataset,Family,Source,Transitions,Baseline,Seeds,Avg Return,Std Return,Norm. Score,Success Rate,Train Steps,Status
minari-pointmaze-umaze-v2-10000,minari-pointmaze-umaze,public_source_integrity,10000,double_dqn,0,,,,,0,incompatible_skipped
minari-pointmaze-umaze-v2-10000,minari-pointmaze-umaze,public_source_integrity,10000,cql_lite,0,,,,,0,incompatible_skipped
minari-pointmaze-umaze-v2-10000,minari-pointmaze-umaze,public_source_integrity,10000,bc_continuous,3,174.000 +/- 27.151,27.151,,0.833 +/- 0.125,5000,completed
minari-pointmaze-umaze-v2-10000,minari-pointmaze-umaze,public_source_integrity,10000,iql_lite,3,163.400 +/- 15.144,15.144,,0.700 +/- 0.082,5000,completed
minari-pointmaze-umaze-v2-50000,minari-pointmaze-umaze,public_source_integrity,50000,bc,0,,,,,0,incompatible_skipped
minari-pointmaze-umaze-v2-50000,minari-pointmaze-umaze,public_source_integrity,50000,offline_dqn,0,,,,,0,incompatible_skipped
minari-pointmaze-umaze-v2-50000,minari-pointmaze-umaze,public_source_integrity,50000,double_dqn,0,,,,,0,incompatible_skipped
minari-pointmaze-umaze-v2-50000,minari-pointmaze-umaze,public_source_integrity,50000,cql_lite,0,,,,,0,incompatible_skipped
minari-pointmaze-umaze-v2-50000,minari-pointmaze-umaze,public_source_integrity,50000,bc_continuous,3,166.167 +/- 21.417,21.417,,0.767 +/- 0.125,5000,completed
minari-pointmaze-umaze-v2-50000,minari-pointmaze-umaze,public_source_integrity,50000,iql_lite,3,166.667 +/- 21.344,21.344,,0.767 +/- 0.125,5000,completed
minari-pointmaze-umaze-v2-100000,minari-pointmaze-umaze,public_source_integrity,100000,bc,0,,,,,0,incompatible_skipped
minari-pointmaze-umaze-v2-100000,minari-pointmaze-umaze,public_source_integrity,100000,offline_dqn,0,,,,,0,incompatible_skipped
minari-pointmaze-umaze-v2-100000,minari-pointmaze-umaze,public_source_integrity,100000,double_dqn,0,,,,,0,incompatible_skipped
minari-pointmaze-umaze-v2-100000,minari-pointmaze-umaze,public_source_integrity,100000,cql_lite,0,,,,,0,incompatible_skipped
minari-pointmaze-umaze-v2-100000,minari-pointmaze-umaze,public_source_integrity,100000,bc_continuous,3,142.433 +/- 13.241,13.241,,0.600 +/- 0.245,5000,completed
minari-pointmaze-umaze-v2-100000,minari-pointmaze-umaze,public_source_integrity,100000,iql_lite,3,142.567 +/- 16.017,16.017,,0.500 +/- 0.163,5000,completed
minari-pointmaze-umaze-dense-v2-10000,minari-pointmaze-umaze-dense,public_source_integrity,10000,bc,0,,,,,0,incompatible_skipped
minari-pointmaze-umaze-dense-v2-10000,minari-pointmaze-umaze-dense,public_source_integrity,10000,offline_dqn,0,,,,,0,incompatible_skipped
minari-pointmaze-umaze-dense-v2-10000,minari-pointmaze-umaze-dense,public_source_integrity,10000,double_dqn,0,,,,,0,incompatible_skipped
minari-pointmaze-umaze-dense-v2-10000,minari-pointmaze-umaze-dense,public_source_integrity,10000,cql_lite,0,,,,,0,incompatible_skipped
minari-pointmaze-umaze-dense-v2-10000,minari-pointmaze-umaze-dense,public_source_integrity,10000,bc_continuous,3,186.901 +/- 8.134,8.134,,0.833 +/- 0.125,5000,completed
minari-pointmaze-umaze-dense-v2-10000,minari-pointmaze-umaze-dense,public_source_integrity,10000,iql_lite,3,173.787 +/- 9.096,9.096,,0.567 +/- 0.094,5000,completed
minari-pointmaze-umaze-dense-v2-50000,minari-pointmaze-umaze-dense,public_source_integrity,50000,bc,0,,,,,0,incompatible_skipped
minari-pointmaze-umaze-dense-v2-50000,minari-pointmaze-umaze-dense,public_source_integrity,50000,offline_dqn,0,,,,,0,incompatible_skipped
minari-pointmaze-umaze-dense-v2-50000,minari-pointmaze-umaze-dense,public_source_integrity,50000,double_dqn,0,,,,,0,incompatible_skipped
minari-pointmaze-umaze-dense-v2-50000,minari-pointmaze-umaze-dense,public_source_integrity,50000,cql_lite,0,,,,,0,incompatible_skipped
minari-pointmaze-umaze-dense-v2-50000,minari-pointmaze-umaze-dense,public_source_integrity,50000,bc_continuous,3,185.394 +/- 10.913,10.913,,0.767 +/- 0.125,5000,completed
minari-pointmaze-umaze-dense-v2-50000,minari-pointmaze-umaze-dense,public_source_integrity,50000,iql_lite,3,173.724 +/- 10.247,10.247,,0.600 +/- 0.082,5000,completed
minari-pointmaze-umaze-dense-v2-100000,minari-pointmaze-umaze-dense,public_source_integrity,100000,bc,0,,,,,0,incompatible_skipped
minari-pointmaze-umaze-dense-v2-100000,minari-pointmaze-umaze-dense,public_source_integrity,100000,offline_dqn,0,,,,,0,incompatible_skipped
minari-pointmaze-umaze-dense-v2-100000,minari-pointmaze-umaze-dense,public_source_integrity,100000,double_dqn,0,,,,,0,incompatible_skipped
minari-pointmaze-umaze-dense-v2-100000,minari-pointmaze-umaze-dense,public_source_integrity,100000,cql_lite,0,,,,,0,incompatible_skipped
minari-pointmaze-umaze-dense-v2-100000,minari-pointmaze-umaze-dense,public_source_integrity,100000,bc_continuous,3,175.766 +/- 8.057,8.057,,0.600 +/- 0.245,5000,completed
minari-pointmaze-umaze-dense-v2-100000,minari-pointmaze-umaze-dense,public_source_integrity,100000,iql_lite,3,170.032 +/- 12.930,12.930,,0.567 +/- 0.047,5000,completed
